OBJECTID,AREA_,PERIMETER,PSA_,PSA_ID,ID,PSLIDE,SE_ANNO_CAD_DATA,P_AREA,SHAPE_Length,SHAPE_Area
1,4421336.5,18471.275,2,1,1,2,,4421336.64674289,18471.276181751,4421336.64674162
2,5231047.5,27158.441,3,16,16,2,,5231047.43521348,27158.4424797654,5231047.4352102
3,17110186,76042.094,4,46,46,2,,17110185.4401107,76042.09555751,17110185.4401077
4,239669.59,3026.548,5,10,10,2,,239669.60763097,3026.54769297936,239669.60763034
5,492170.81,5466.243,6,12,12,2,,492170.82356139,5466.24219637337,492170.823562224
6,8666485,41976.16,7,47,47,2,,8666485.14443813,41976.1597978316,8666485.14444089
7,19746.211,678.147,8,9,9,2,,19746.21458929,678.146760749532,19746.2145893309
8,104093.82,1962.233,9,8,8,2,,104093.82362397,1962.23244266114,104093.82362553
9,11766.278,420.631,10,11,11,2,,11766.2792286,420.631279332984,11766.2792284365
10,208188.93,2767.843,12,7,7,2,,208188.9204989,2767.84308805094,208188.920500737
11,780917.37,6194.616,13,15,15,2,,780917.3554839,6194.61638586106,780917.355486092
12,39399.527,789.581,14,13,13,2,,39399.53521363,789.580607203166,39399.5352129363
13,13501.448,437.253,15,14,14,2,,13501.45076398,437.252801992442,13501.4507641604
14,20874986,104763.24,16,45,45,2,,20874986.7103647,104763.239792633,20874986.7103803
15,42653.031,1199.439,18,2,2,2,,42653.03678434,1199.43889081327,42653.0367855812
16,303905.28,4497.686,19,6,6,2,,303905.26528959,4497.68594383458,303905.265288308
17,99250.414,1483.068,21,17,17,2,,99250.41711881,1483.06753673242,99250.4171192557
18,98859.914,1610.69,22,5,5,2,,98859.91206608,1610.69045578068,98859.9120656645
19,15830555,71997.578,23,44,44,2,,15830554.7485538,71997.5824833192,15830554.748561
20,342327.71,4700.924,24,4,4,2,,342327.72095454,4700.92452038509,342327.720952517
21,75399.875,1885.265,25,3,3,2,,75399.86775054,1885.26488192079,75399.8677505016
22,105102.55,1727.235,26,18,18,2,,105102.54120727,1727.23483425684,105102.541206676
23,3697417.5,12510.871,27,20,20,2,,3697417.4716584,12510.8707671484,3697417.47165773
24,2697922.7,10794.48,30,19,19,2,,2697922.85342606,10794.4807037313,2697922.8534264
25,23518294,82755.648,32,43,43,2,,23518294.4075548,82755.646114831,23518294.4075575
26,114916.78,1807.354,33,21,21,2,,114916.79630488,1807.35448286103,114916.796304128
27,237433.4,2173.115,47,48,48,2,,237433.36913738,2173.11496046156,237433.36913802
28,182737.03,1839.533,50,22,22,2,,182737.03634694,1839.53326084961,182737.036346737
29,26164262,100088.77,51,39,39,2,,26164262.0791863,100088.770679511,26164262.0791848
30,10308133,40562.879,52,42,42,2,,10308132.7328565,40562.8786791812,10308132.7328478
31,87505.523,1788.925,53,23,23,2,,87505.52052579,1788.92513859255,87505.5205254745
32,32927.75,690.369,55,24,24,2,,32927.74987345,690.368980097268,32927.7498735406
33,3747061.5,17121.359,56,29,29,2,,3747061.63655163,17121.3590722543,3747061.63655866
34,94718.133,1977.815,57,25,25,2,,94718.12528395,1977.81505528432,94718.1252848269
35,16552.906,523.065,58,26,26,2,,16552.90650927,523.065316622341,16552.9065088357
36,538491.25,7053.844,59,28,28,2,,538491.24322727,7053.84402370637,538491.243230408
37,86096.945,1956.889,61,27,27,2,,86096.94186418,1956.88854754314,86096.9418633359
38,19985742,56607.762,62,40,40,2,,19985740.9922737,56607.7610982357,19985740.9922696
39,3720089.7,16081.723,64,36,36,2,,3720089.79079392,16081.7227204707,3720089.79079654
40,9610123,39678.309,65,38,38,2,,9610122.78249792,39678.3086281538,9610122.78249906
41,5713077,24835.441,66,31,31,2,,5713076.97462274,24835.4424825659,5713076.97461702
42,178651.06,2343.448,67,30,30,2,,178651.05713944,2343.44774557858,178651.057138955
43,653365.06,6018.652,68,35,35,2,,653365.06739578,6018.65229129548,653365.067393449
44,3667291.7,28030.885,69,41,41,2,,3667291.74038149,28030.8842190859,3667291.74037967
45,3425082,22945.611,70,34,34,2,,3425082.14297129,22945.6120712315,3425082.14295291
46,134825.14,2496.475,71,32,32,2,,134825.13346758,2496.47537481719,134825.133467145
47,595226.68,7134.23,72,37,37,2,,595226.68595615,7134.23031575695,595226.68595852
48,456185.4,5144.408,73,33,33,2,,456185.39151821,5144.40755354352,456185.391519498
